index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
214073,848,5,31/07/2015,998,1,1,0,1,10151.7685546875
406145,124,6,12/07/2014,297,1,0,0,0,2916.44921875
397642,1028,2,31/12/2013,438,1,0,0,1,3921.5048828125
273960,95,2,24/09/2013,1099,1,1,0,0,9259.591796875
12104,208,1,28/10/2013,323,1,0,0,0,2976.7490234375
361202,249,2,08/07/2014,449,1,0,0,0,4401.71435546875
79347,887,3,20/03/2013,614,1,1,0,0,6205.40869140625
462803,73,1,28/04/2014,601,1,1,0,1,6995.80126953125
141713,13,4,02/04/2015,501,1,1,0,1,6085.08642578125
703618,1049,2,03/09/2013,580,1,0,0,1,5275.744140625
308360,144,4,05/02/2015,769,1,1,0,0,7754.67138671875
317995,847,3,14/08/2013,1018,1,1,0,1,9444.953125
364408,796,3,08/05/2013,717,1,0,0,0,6403.2880859375
27886,396,4,11/06/2015,1139,1,0,0,0,8950.3603515625
706814,1080,7,15/09/2013,0,0,0,0,0,0.0
514516,675,5,26/09/2014,338,1,0,0,0,3232.621337890625
577373,1099,1,01/12/2014,1236,1,1,0,0,12698.1064453125
190561,791,1,11/05/2015,858,1,0,0,0,7432.99658203125
92512,1014,2,24/03/2015,1476,1,0,0,0,10076.7919921875
565163,487,2,04/11/2014,737,1,1,0,0,7947.1640625
500246,427,3,13/02/2013,701,1,0,0,1,5905.91552734375
223708,254,5,14/11/2014,282,1,1,0,0,3338.953125
555732,43,5,31/01/2014,710,1,0,0,0,6774.6904296875
654150,1074,2,09/06/2015,421,1,0,0,0,4296.8369140625
558350,549,6,29/06/2013,380,1,0,0,0,3999.6728515625
52167,1095,2,08/01/2013,720,1,1,0,0,7308.14453125
296981,295,1,28/10/2013,612,1,0,0,1,5305.33349609375
332143,319,1,14/10/2013,863,1,0,0,1,6609.029296875
426553,1002,4,10/04/2014,642,1,0,0,0,5683.41259765625
481847,448,6,06/12/2014,544,1,0,0,0,5519.4248046875
100496,527,2,03/09/2013,1046,1,0,0,1,7903.9375
706377,255,5,12/04/2013,652,1,1,0,0,6654.80908203125
599169,581,5,04/07/2014,651,1,1,0,0,6581.419921875
55294,185,6,05/01/2013,550,1,0,0,0,5219.9228515625
218737,244,6,22/11/2014,538,1,0,0,0,5029.04736328125
266706,1082,6,05/01/2013,877,1,0,0,0,7447.0009765625
441953,216,5,20/03/2015,837,1,1,0,0,7891.18994140625
127184,350,4,05/03/2015,508,1,1,0,0,5719.0771484375
312223,748,1,31/03/2014,822,1,1,0,0,9546.890625
583377,718,1,08/12/2014,962,1,0,0,0,8139.53076171875
523743,739,5,21/02/2014,789,1,1,0,0,7571.6044921875
476775,614,7,21/12/2014,0,0,0,0,0,0.0
620142,673,2,18/02/2014,615,1,1,0,0,6604.3359375
460092,83,1,10/06/2013,367,1,0,0,0,3702.462646484375
169260,976,3,18/09/2013,598,1,0,0,0,5069.51123046875
177084,637,6,06/04/2013,518,1,0,0,0,4922.1640625
645354,122,2,07/01/2014,714,1,1,0,0,7824.3486328125
645737,898,1,24/11/2014,1013,1,1,0,0,9680.869140625
272578,1080,4,26/06/2014,710,1,0,0,0,6048.4580078125
600374,291,1,30/03/2015,1290,1,1,0,0,13132.2333984375
566038,24,4,03/01/2013,711,1,0,0,1,6127.38720703125
381862,1096,7,18/08/2013,0,0,0,0,0,0.0
535335,637,5,30/05/2014,860,1,0,0,0,8219.212890625
499411,1002,2,02/06/2015,850,1,1,0,0,9286.7109375
625219,666,1,10/03/2014,497,1,0,0,0,4585.40380859375
61823,1089,7,24/11/2013,0,0,0,0,0,0.0
653471,334,6,31/08/2013,515,1,0,0,0,5065.8828125
441789,300,6,30/08/2014,951,1,0,0,1,8147.57861328125
155435,207,1,22/09/2014,1166,1,0,0,0,8351.6025390625
226567,683,3,27/05/2015,854,1,0,0,0,7825.919921875
107330,1094,2,14/05/2013,394,1,1,0,0,4673.470703125
149417,700,4,09/07/2015,576,1,0,0,0,5556.9072265625
191690,959,2,26/08/2014,744,1,0,0,0,6118.228515625
146544,766,7,22/06/2014,0,0,0,0,0,0.0
383603,1011,6,08/06/2013,977,1,0,0,0,7567.048828125
452941,570,5,13/12/2013,676,1,0,0,0,6667.6669921875
629103,685,2,10/09/2013,689,1,1,0,0,7193.04150390625
30258,158,3,16/04/2014,681,1,1,0,1,7351.2275390625
219501,66,5,29/05/2015,522,1,0,0,1,5605.22802734375
528607,76,2,30/07/2013,1080,1,1,0,0,10968.291015625
397525,572,3,16/10/2013,458,1,0,0,0,4279.06787109375
314281,184,6,11/10/2014,510,1,0,0,0,4721.1162109375
489418,1034,5,06/12/2013,775,1,1,0,0,8095.45166015625
182776,559,7,11/08/2013,0,0,0,0,0,0.0
335928,862,2,23/12/2014,1561,1,0,0,1,14721.8466796875
198358,171,2,11/11/2014,962,1,1,0,0,8597.4248046875
400219,33,7,07/12/2014,0,0,0,0,0,0.0
427476,936,4,27/11/2014,963,1,1,0,0,9445.986328125
31892,948,2,18/02/2014,1682,1,1,0,0,13515.076171875
109374,371,6,04/05/2013,551,1,0,0,0,5252.232421875
385320,242,1,05/05/2014,378,1,1,0,0,4675.4814453125
517169,133,5,17/01/2014,622,1,0,0,0,5476.48876953125
369733,1031,1,15/12/2014,681,1,1,0,0,9166.5771484375
71343,850,4,07/02/2013,710,1,1,0,0,6956.15966796875
42363,860,5,05/06/2015,833,1,1,0,0,8496.3662109375
612665,836,6,06/07/2013,301,1,0,0,0,2808.782958984375
428563,965,6,30/11/2013,908,1,0,0,0,8686.943359375
610249,1096,1,26/01/2015,763,1,1,0,0,8049.47412109375
669222,504,3,03/09/2014,836,1,1,0,1,8169.779296875
484348,230,1,30/12/2013,1327,1,0,0,1,11179.177734375
194089,826,1,02/12/2013,1170,1,1,0,0,12489.68359375
328888,975,2,30/07/2013,767,1,1,0,1,8160.28466796875
485880,602,2,28/10/2014,547,1,0,0,1,4983.94970703125
699868,953,5,19/09/2014,553,1,1,0,0,5565.466796875
265929,187,6,02/11/2013,491,1,0,0,0,5137.8212890625
154648,792,5,18/10/2013,599,1,0,0,0,5266.41455078125
376328,1035,4,27/11/2014,744,1,1,0,0,7912.89599609375
530275,523,3,29/07/2015,1515,1,1,0,1,13315.9482421875
441109,723,4,04/04/2013,461,1,0,0,1,4400.55615234375
26050,1025,7,26/05/2013,0,0,0,0,0,0.0
247671,18,7,04/01/2015,0,0,0,0,0,0.0
615467,997,3,03/09/2014,378,1,1,0,1,4433.55029296875
267972,400,6,05/10/2013,805,1,0,0,0,6888.60400390625
22318,1047,2,09/07/2013,491,1,0,0,0,4740.2900390625
430083,819,1,02/09/2013,472,1,0,0,0,4408.45849609375
510014,668,1,02/06/2014,1562,1,1,0,0,14292.150390625
343803,585,4,22/01/2015,666,1,0,0,0,5767.06689453125
85161,99,1,10/03/2014,404,1,0,0,0,3857.885498046875
505852,965,6,22/11/2014,847,1,0,0,0,7186.884765625
266131,590,4,21/02/2013,376,1,1,0,0,4243.53857421875
397091,709,2,02/06/2015,1682,1,1,0,0,15525.640625
112013,58,7,20/10/2013,0,0,0,0,0,0.0
492019,409,7,09/02/2014,0,0,0,0,0,0.0
73240,850,6,04/04/2015,826,1,0,0,0,7910.64697265625
203948,1058,3,06/03/2013,737,1,1,0,0,7133.12744140625
603210,1067,7,13/04/2014,0,0,0,0,0,0.0
82813,777,1,21/04/2014,0,0,0,b,1,0.0
634511,155,3,21/05/2014,632,1,1,0,0,6414.61328125
28171,598,1,29/06/2015,871,1,1,0,0,9981.8935546875
198571,493,2,01/07/2014,902,1,1,0,0,9130.017578125
70073,628,7,03/08/2014,0,0,0,0,1,0.0
551321,524,1,30/12/2013,1193,1,0,0,1,10563.671875
509286,966,4,04/04/2013,585,1,0,0,1,5245.50537109375
24413,1022,5,27/12/2013,791,1,0,0,1,7043.6240234375
367168,380,3,05/03/2014,1720,1,1,0,0,13302.2021484375
103724,132,3,14/01/2015,579,1,1,0,0,6076.60791015625
704886,400,5,26/06/2015,999,1,0,0,0,8267.5908203125
568270,988,4,29/08/2013,790,1,1,0,0,7776.65966796875
627934,906,2,19/03/2013,1476,1,1,0,0,12080.67578125
520091,1028,2,05/11/2013,689,1,1,0,0,7358.7119140625
505933,1100,6,23/03/2013,484,1,0,0,0,4667.490234375
67603,759,1,14/01/2013,607,1,0,0,0,5121.79248046875
96570,223,1,27/10/2014,716,1,0,0,0,5961.3076171875
696883,936,7,15/03/2015,0,0,0,0,0,0.0
216455,780,6,11/07/2015,341,1,0,0,0,3549.091064453125
472114,259,5,28/11/2014,2677,1,1,0,0,20879.970703125
437836,131,6,09/11/2013,582,1,0,0,0,5505.869140625
467331,251,3,28/01/2015,2241,1,1,0,0,16586.388671875
423483,1079,6,17/01/2015,517,1,0,0,0,4984.3359375
533535,1003,3,05/03/2014,1029,1,1,0,0,9430.078125
82465,980,4,05/09/2013,450,1,0,0,0,4080.26123046875
245480,654,2,27/01/2015,766,1,1,0,0,7798.7470703125
155723,966,4,25/07/2013,517,1,0,0,1,4669.029296875
167485,1020,1,22/09/2014,929,1,0,0,0,6982.7294921875
574217,969,3,19/03/2014,610,1,1,0,0,6261.55126953125
307718,1038,2,07/04/2015,490,1,0,0,1,4935.9716796875
250666,516,3,09/07/2014,453,1,0,0,1,4432.3701171875
233447,733,1,14/01/2013,3171,1,0,0,0,19413.22265625
9408,595,6,31/05/2014,1881,1,0,0,0,13118.3623046875
532318,260,3,16/07/2014,962,1,1,0,1,9145.470703125
213221,768,6,02/02/2013,1251,1,0,0,0,9989.9296875
149118,940,1,14/01/2013,627,1,0,0,0,5237.5
643815,364,4,27/06/2013,563,1,0,0,0,5242.8828125
205464,506,3,22/07/2015,763,1,0,0,1,6392.9541015625
172737,671,3,29/05/2013,507,1,1,0,1,5796.59521484375
358803,300,6,24/01/2015,862,1,0,0,0,6880.0244140625
432064,84,2,17/06/2014,1563,1,1,0,0,13154.3349609375
243176,219,4,07/05/2015,455,1,1,0,0,5186.99951171875
165487,934,5,22/03/2013,764,1,1,0,0,7286.83056640625
206630,125,3,01/04/2015,1906,1,1,0,1,16584.8515625
380228,176,3,04/12/2013,757,1,1,0,0,8506.9189453125
278339,223,2,26/11/2013,675,1,0,0,0,6188.39794921875
125602,326,1,14/07/2014,429,1,1,0,0,5293.201171875
707930,339,2,27/08/2013,745,1,1,0,0,7260.1796875
647013,872,3,08/04/2015,659,1,0,0,1,6069.50439453125
404917,579,7,23/11/2014,0,0,0,0,0,0.0
607690,974,5,28/02/2014,1599,1,0,0,0,11418.1201171875
63394,979,7,12/04/2015,0,0,0,0,0,0.0
334403,880,3,04/06/2014,806,1,1,0,0,8243.0068359375
440195,910,7,31/03/2013,0,0,0,0,0,0.0
87636,1084,6,04/07/2015,614,1,0,0,0,5998.4970703125
189540,92,5,12/06/2015,453,1,0,0,0,4528.94140625
18218,14,6,20/06/2015,402,1,0,0,0,4100.5361328125
396021,587,1,30/12/2013,960,1,0,0,1,9014.3798828125
442052,230,4,24/10/2013,856,1,1,0,0,7622.34375
397202,689,6,15/03/2014,589,1,0,0,0,5428.119140625
251121,599,1,13/05/2013,1096,1,1,0,0,10055.5927734375
463013,596,7,22/12/2013,0,0,0,0,0,0.0
655331,576,1,11/03/2013,749,1,0,0,0,6101.10693359375
327407,141,4,26/06/2014,493,1,0,0,0,4664.361328125
355157,751,1,21/04/2014,0,0,0,b,1,0.0
654124,877,5,01/03/2013,925,1,0,0,0,8148.86328125
602473,375,2,23/04/2013,948,1,1,0,0,8231.48046875
414480,230,1,08/12/2014,988,1,0,0,0,8316.3388671875
574764,545,3,22/01/2014,1087,1,1,0,0,9574.0908203125
136740,1022,1,04/03/2013,1093,1,1,0,0,10486.48046875
240843,597,3,20/08/2014,756,1,1,0,1,7550.85400390625
130323,559,7,08/06/2014,0,0,0,0,0,0.0
688030,1024,6,18/07/2015,825,1,0,0,0,7177.0087890625
43133,36,2,17/03/2015,1205,1,1,0,0,10716.6611328125
172856,702,2,28/05/2013,351,1,1,0,1,4341.8193359375
446048,623,7,10/02/2013,0,0,0,0,0,0.0
36534,105,4,17/10/2013,483,1,0,0,0,4479.89794921875
612801,902,2,19/11/2013,648,1,1,0,0,6748.23095703125
256750,11,6,11/04/2015,786,1,0,0,0,6719.18359375
623446,1039,5,28/06/2013,629,1,0,0,0,6064.31884765625
63314,102,1,16/02/2015,1174,1,1,0,0,10863.23828125
238452,543,5,18/10/2013,175,1,0,0,1,1672.9503173828125
43919,827,4,02/01/2014,1910,1,0,0,1,13109.19921875
258378,110,3,08/10/2014,647,1,1,0,0,6670.92578125
59774,945,1,05/01/2015,698,1,1,0,1,7990.43212890625
31637,582,3,12/03/2014,749,1,0,0,0,6097.31884765625
673741,554,4,16/01/2014,428,1,0,0,0,3954.0419921875
659942,486,2,08/07/2014,384,1,0,0,1,3775.113037109375
349639,637,6,15/02/2014,520,1,0,0,0,4928.20556640625
394865,806,5,31/01/2014,578,1,0,0,0,5804.486328125
255648,887,6,21/06/2014,462,1,0,0,0,4428.97412109375
379128,374,6,04/04/2015,668,1,0,0,0,6741.72119140625
540897,1025,5,04/01/2013,804,1,0,0,1,6797.5732421875
662220,638,2,06/08/2013,431,1,0,0,1,4293.328125
160268,123,6,09/05/2015,490,1,0,0,0,4999.41455078125
654290,905,4,19/02/2015,1108,1,1,0,0,9591.5673828125
599039,536,5,05/04/2013,989,1,0,0,1,7794.69482421875
651027,763,7,01/02/2015,0,0,0,0,0,0.0
553569,191,6,10/08/2013,694,1,0,0,0,5902.73583984375
271750,957,4,20/02/2014,948,1,1,0,0,8371.814453125
709864,268,4,04/06/2015,618,1,1,0,0,6711.66796875
300796,654,6,07/09/2013,266,1,0,0,0,2432.895263671875
413674,612,6,07/09/2013,388,1,0,0,0,3661.500244140625
8402,747,3,27/08/2014,567,1,0,0,1,5057.07568359375
310059,656,6,18/05/2013,380,1,0,0,0,3717.99755859375
319105,368,5,05/04/2013,592,1,0,0,1,5405.59130859375
689752,959,3,18/09/2013,552,1,0,0,0,4763.4638671875
516276,329,2,03/02/2015,708,1,1,0,0,7674.78125
338342,97,3,22/07/2015,535,1,0,0,1,4894.890625
666229,314,2,13/08/2013,661,1,1,0,1,7114.1904296875
8353,463,7,11/01/2015,0,0,0,0,0,0.0
386012,258,1,20/05/2013,0,0,0,a,0,0.0
471619,283,3,13/11/2013,621,1,0,0,0,5473.4970703125
612347,556,1,15/04/2013,754,1,0,0,0,6107.99462890625
514445,388,5,24/01/2014,1211,1,1,0,0,10067.9833984375
396179,67,3,03/09/2014,837,1,1,0,1,8169.779296875
590638,725,5,16/01/2015,677,1,1,0,0,6854.9130859375
683448,219,4,06/06/2013,416,1,1,0,0,4486.74169921875
218062,1077,2,10/02/2015,479,1,0,0,0,4594.17236328125
706606,322,4,23/05/2013,589,1,0,0,0,5314.369140625
453487,814,3,20/02/2013,581,1,1,0,1,6070.49267578125
240904,134,7,30/06/2013,0,0,0,0,0,0.0
326681,54,4,11/07/2013,657,1,0,0,0,5780.07763671875
272937,662,5,26/04/2013,854,1,1,0,0,7974.57373046875
11415,126,7,19/04/2015,0,0,0,0,0,0.0
436957,1001,6,30/11/2013,471,1,0,0,0,5279.1865234375
171033,657,4,13/02/2014,598,1,0,0,0,5284.52734375
632521,590,4,14/03/2013,319,1,0,0,0,3127.8720703125
179002,193,3,25/12/2013,0,0,0,c,1,0.0
345971,168,6,21/09/2013,465,1,0,0,0,4260.8994140625
463457,16,1,22/07/2013,839,1,0,0,0,6734.72900390625
674866,244,1,04/02/2013,738,1,1,0,0,7874.40625
479231,545,7,08/02/2015,0,0,0,0,0,0.0
369184,1032,6,19/01/2013,492,1,0,0,0,4735.20849609375
564608,290,5,31/05/2013,987,1,1,0,0,9975.2880859375
421305,548,4,24/01/2013,335,1,1,0,0,3768.571533203125
312789,733,1,04/08/2014,3508,1,1,0,1,20353.46484375
548456,654,4,06/06/2013,716,1,1,0,0,6828.267578125
195259,272,6,04/05/2013,377,1,0,0,0,3613.05712890625
669573,1017,3,20/03/2013,1176,1,1,0,0,10076.2900390625
599293,708,2,20/05/2014,462,1,1,0,0,5123.85791015625
33900,819,4,08/01/2015,454,1,1,0,0,5113.912109375
74619,99,3,26/06/2013,372,1,0,0,0,3634.79541015625
284898,982,2,10/12/2013,710,1,0,0,0,6610.23828125
402135,683,5,03/04/2015,0,0,1,b,1,0.0
447277,194,3,16/10/2013,373,1,0,0,0,3604.601318359375
588164,853,2,30/06/2015,1201,1,1,0,0,12991.7880859375
456931,53,1,28/04/2014,650,1,1,0,1,7469.89306640625
221701,281,4,07/02/2013,508,1,1,0,0,5444.24658203125
535271,101,2,02/09/2014,879,1,1,0,0,8476.8115234375
171677,440,5,05/06/2015,769,1,1,0,1,8334.623046875
226127,994,2,18/03/2014,435,1,1,0,0,5151.25146484375
414979,168,2,30/07/2013,930,1,1,0,1,9509.7333984375
500051,48,7,27/10/2013,0,0,0,0,0,0.0
329177,652,6,15/02/2014,501,1,0,0,0,4799.353515625
541113,934,6,11/01/2014,474,1,0,0,0,4585.74755859375
124681,223,6,29/03/2014,589,1,0,0,0,5563.3720703125
284177,378,5,26/12/2014,0,0,0,c,1,0.0
90749,865,3,17/07/2013,624,1,1,0,0,6640.11328125
237894,466,5,31/01/2014,861,1,0,0,0,7845.55224609375
506152,789,5,14/02/2014,546,1,0,0,0,5097.05859375
622882,61,7,07/06/2015,0,0,0,0,0,0.0
34430,765,4,19/12/2013,1068,1,1,0,0,11361.4716796875
268594,673,1,23/02/2015,500,1,0,0,0,4753.23193359375
368485,258,3,25/06/2014,444,1,0,0,0,4294.0478515625
602478,740,3,08/10/2014,499,1,1,0,0,5506.787109375
202788,1080,1,16/09/2013,764,1,0,0,0,6086.52197265625
675955,918,5,20/06/2014,661,1,1,0,0,6864.89794921875
611958,857,6,22/06/2013,1004,1,0,0,0,7664.38720703125
597571,837,1,01/07/2013,482,1,1,0,0,5928.4609375
317074,516,7,01/03/2015,0,0,0,0,0,0.0
380943,446,2,27/05/2014,505,1,0,0,0,4800.6533203125
649251,835,4,30/05/2013,0,0,1,a,0,0.0
386136,140,7,03/02/2013,0,0,0,0,0,0.0
411910,207,3,14/08/2013,1584,1,1,0,0,12883.0986328125
119756,961,4,29/01/2015,668,1,1,0,0,6891.17041015625
251963,772,2,18/03/2014,507,1,1,0,0,5764.169921875
292719,1089,2,02/09/2014,1050,1,1,0,0,9749.2001953125
77065,521,3,05/03/2014,421,1,1,0,0,4931.38134765625
206967,823,5,17/01/2014,600,1,0,0,0,5346.55810546875
521339,436,6,14/09/2013,426,1,0,0,0,3973.7265625
363365,483,7,09/03/2014,0,0,0,0,0,0.0
481077,215,2,25/03/2014,333,1,0,0,0,3167.877685546875
711386,109,5,29/05/2015,802,1,0,0,0,7793.67578125
66970,858,1,16/12/2013,590,1,1,0,0,8682.8359375
435729,425,4,05/03/2015,501,1,1,0,0,5655.39892578125
426284,357,5,24/07/2015,905,1,0,0,1,7331.998046875
435236,255,1,02/02/2015,575,1,1,0,0,6795.51953125
199039,798,6,07/02/2015,343,1,0,0,0,3465.70458984375
99250,366,6,23/03/2013,304,1,0,0,0,3036.180908203125
580140,534,2,07/04/2015,510,1,0,0,1,4999.77978515625
254820,179,5,20/06/2014,1176,1,1,0,0,10409.4736328125
155130,258,2,03/09/2013,464,1,0,0,1,4470.45654296875
503682,693,5,29/08/2014,384,1,0,0,1,3894.69189453125
288534,999,4,24/10/2013,685,1,1,0,1,6410.29736328125
67050,834,6,19/04/2014,492,1,0,0,0,4813.34423828125
174771,512,4,31/10/2013,1410,1,0,0,1,10195.9462890625
442288,818,2,23/04/2013,662,1,1,0,0,6442.546875
606734,534,6,12/10/2013,606,1,0,0,0,5343.55615234375
431156,1084,2,17/12/2013,1099,1,1,0,0,12316.71875
424121,34,2,10/03/2015,861,1,0,0,0,7041.4072265625
557753,101,4,27/03/2014,686,1,0,0,0,5964.5859375
520831,187,1,02/03/2015,885,1,1,0,0,9487.71875
376589,20,1,23/09/2013,1041,1,1,0,0,8989.109375
7670,828,7,26/10/2014,0,0,0,0,0,0.0
303546,434,1,12/08/2013,823,1,1,0,1,8732.4990234375
236740,738,1,04/05/2015,864,1,1,0,0,9091.0078125
145734,351,5,07/03/2014,569,1,1,0,0,5897.9609375
134420,1020,4,30/01/2014,905,1,0,0,0,7267.5283203125
691699,86,7,11/08/2013,0,0,0,0,0,0.0
233889,266,3,17/06/2015,573,1,1,0,0,6456.6611328125
653554,608,5,20/06/2014,1024,1,1,0,0,9394.26953125
481046,708,5,21/02/2014,493,1,1,0,1,5312.54443359375
423103,734,3,05/02/2014,605,1,1,0,0,6460.419921875
693486,776,7,07/06/2015,0,0,0,0,0,0.0
90193,1060,2,09/04/2013,853,1,1,0,0,8093.69677734375
119482,182,2,29/04/2014,507,1,1,0,0,5891.6611328125
525167,542,3,16/01/2013,431,1,0,0,0,3970.887451171875
239754,602,1,06/05/2013,610,1,0,0,0,5641.41064453125
332806,101,4,07/11/2013,777,1,1,0,0,7778.4775390625
142056,784,7,30/06/2013,0,0,0,0,0,0.0
673000,679,7,17/11/2013,0,0,0,0,0,0.0
567353,535,4,14/08/2014,793,1,0,0,1,6473.9638671875
696641,844,4,06/02/2014,516,1,1,0,0,5619.40673828125
628766,595,7,24/05/2015,0,0,0,0,0,0.0
544695,25,6,30/03/2013,1831,1,0,0,0,14416.9814453125
652921,416,3,03/12/2014,1819,1,1,0,0,14781.25
436682,539,4,22/01/2015,966,1,0,0,0,7375.3037109375
158580,77,3,28/08/2013,642,1,1,0,0,6483.37890625
184394,641,2,09/07/2013,493,1,0,0,0,4740.2900390625
523534,445,6,10/01/2015,1201,1,0,0,0,9485.9130859375
133026,318,5,03/05/2013,822,1,1,0,0,8100.2255859375
296285,394,3,13/11/2013,539,1,0,0,0,4823.6328125
14477,761,5,07/02/2014,1014,1,1,0,1,8896.984375
130799,706,2,28/07/2015,578,1,1,0,0,7118.89404296875
17306,41,5,28/02/2014,433,1,0,0,0,4540.60595703125
617975,894,1,07/07/2014,958,1,0,0,1,7578.97216796875
668657,169,6,03/05/2014,801,1,0,0,0,7218.609375
460228,1012,1,09/06/2014,0,0,0,a,0,0.0
26534,310,4,29/08/2013,868,1,1,0,0,8356.943359375
8504,1003,3,22/01/2014,847,1,1,0,0,7986.9521484375
